method_label,width,precision_prior,ess
mcmc,10,1.0,1.1558893488245519
mcmc,10,1.0,8.147465828293798
mcmc,10,1.0,1.0484082419069638
mcmc,10,1.0,1.0388864129402628
mcmc,10,1.0,1.1131389637468858
mcmc,10,1.0,1.0311497254189306
mcmc,10,1.0,1.0349886849836272
mcmc,10,1.0,1.5738844931213647
mcmc,10,1.0,1.5014319840795622
mcmc,10,1.0,1.0725855816638756
mcmc,10,1.0,1.254758482659902
mcmc,10,1.0,1.1335229898769537
mcmc,10,1.0,1.1093764480425028
mcmc,10,1.0,1.3196804770866146
mcmc,10,1.0,11.209715597241917
mcmc,10,1.0,1.2381856123685702
mcmc,10,1.0,3.907265194587869
mcmc,10,1.0,1.3384989720924283
mcmc,10,1.0,2.2988224620269757
mcmc,10,1.0,1.2590213351982493
mcmc,10,1.0,1.9091201182703705
mcmc,10,1.0,10.077290689139137
mcmc,10,1.0,2.4724965946805937
mcmc,10,1.0,5.351080923540499
mcmc,10,1.0,1.2168692662588088
mcmc,10,1.0,11.504152002405975
mcmc,10,1.0,3.286248852538478
mcmc,10,1.0,1.539515661456326
mcmc,10,1.0,15.13832516791189
mcmc,10,1.0,13.505144617550675
mcmc,10,1.0,6.834625513796938
mcmc,10,1.0,1.0666242347420802
mcmc,10,1.0,2.884121326134816
mcmc,10,1.0,2.760369541221556
mcmc,10,1.0,6.363213734970377
mcmc,10,1.0,1.14326012897823
mcmc,10,1.0,6.237987158114524
mcmc,10,1.0,1.362912836679063
mcmc,10,1.0,1.0476603785943337
mcmc,10,1.0,1.4843207037855335
mcmc,10,1.0,1.3717368284050677
mcmc,10,1.0,2.2522718077820025
mcmc,10,1.0,15.575920088585956
mcmc,10,1.0,1.2845463557222276
mcmc,10,1.0,6.567975218546207
mcmc,10,1.0,1.3849462875184622
mcmc,10,1.0,1.0803550470952985
mcmc,10,1.0,1.5828995165799828
mcmc,10,1.0,1.1856588965552166
mcmc,10,1.0,1.2116316482648846
mcmc,10,1.0,8.359275564413569
mcmc,10,1.0,1.4157175432925466
mcmc,10,1.0,1.1032715233152057
mcmc,10,1.0,2.8564429893677836
mcmc,10,1.0,1.1401882238102743
mcmc,10,1.0,2.1785268741361747
mcmc,10,1.0,8.753399469320314
mcmc,10,1.0,1.4192956004325235
mcmc,10,1.0,1.9940259296939657
mcmc,10,1.0,1.4761226884045122
mcmc,10,1.0,3.023548147386086
mcmc,10,1.0,4.324825889191293
mcmc,10,1.0,6.763262059622583
mcmc,10,1.0,1.5128879177950623
